origin,destination,distance_km,hist_avg_delay_hrs,transport_mode,mode_label
Amazon FC Bhiwandi,Flipkart FC Bhiwandi,1.6,0.03,0,road
Amazon FC Bhiwandi,Amazon FC Hyderabad,602.0,11.6,0,road
Amazon FC Bhiwandi,XpressBees Hub Pune,109.9,2.12,0,road
Amazon FC Bhiwandi,Blue Dart Hub Ahmedabad,421.9,8.13,0,road
Amazon FC Bhiwandi,Amazon FC Surat,209.7,4.04,0,road
Amazon FC Bhiwandi,Mahindra Logistics Nagpur,654.9,12.62,0,road
Amazon FC Bhiwandi,Rajkot Industrial Hub,408.5,7.87,0,road
Amazon FC Bhiwandi,Blue Dart Hub Indore,478.8,9.23,0,road
Amazon FC Bhiwandi,Flipkart Hub Vadodara,335.0,6.46,0,road
Amazon FC Bhiwandi,JNPT Port,40.8,0.79,0,road
Amazon FC Bhiwandi,Mumbai Port,47.9,0.92,0,road
Amazon FC Bhiwandi,Mumbai Airport BOM,30.7,0.59,0,road
Flipkart FC Bhiwandi,Amazon FC Bhiwandi,1.6,0.03,0,road
Flipkart FC Bhiwandi,Amazon FC Hyderabad,601.9,11.6,0,road
Flipkart FC Bhiwandi,XpressBees Hub Pune,110.4,2.13,0,road
Flipkart FC Bhiwandi,Blue Dart Hub Ahmedabad,420.5,8.1,0,road
Flipkart FC Bhiwandi,Amazon FC Surat,208.3,4.01,0,road
Flipkart FC Bhiwandi,Mahindra Logistics Nagpur,653.8,12.6,0,road
Flipkart FC Bhiwandi,Rajkot Industrial Hub,407.6,7.86,0,road
Flipkart FC Bhiwandi,Blue Dart Hub Indore,477.2,9.2,0,road
Flipkart FC Bhiwandi,Flipkart Hub Vadodara,333.5,6.43,0,road
Flipkart FC Bhiwandi,JNPT Port,42.4,0.82,0,road
Flipkart FC Bhiwandi,Mumbai Port,49.5,0.95,0,road
Flipkart FC Bhiwandi,Mumbai Airport BOM,32.2,0.62,0,road
Amazon FC Manesar,Delhivery Hub Gurgaon,15.4,0.3,0,road
Amazon FC Manesar,Amazon FC Noida,49.6,0.96,0,road
Amazon FC Manesar,Delhivery Hub Jaipur,199.0,3.83,0,road
Amazon FC Manesar,Ecom Express Lucknow,428.5,8.26,0,road
Amazon FC Manesar,Ludhiana Industrial Hub,302.0,5.82,0,road
Amazon FC Manesar,Panipat Textile Hub,115.8,2.23,0,road
Amazon FC Manesar,Blue Dart Hub Indore,635.2,12.24,0,road
Amazon FC Manesar,Amazon FC Chandigarh,265.4,5.12,0,road
Amazon FC Manesar,Delhi Airport DEL,29.4,0.57,0,road
Delhivery Hub Gurgaon,Amazon FC Manesar,15.4,0.3,0,road
Delhivery Hub Gurgaon,Amazon FC Noida,36.6,0.71,0,road
Delhivery Hub Gurgaon,Delhivery Hub Jaipur,214.4,4.13,0,road
Delhivery Hub Gurgaon,Ecom Express Lucknow,424.5,8.18,0,road
Delhivery Hub Gurgaon,Ludhiana Industrial Hub,294.0,5.67,0,road
Delhivery Hub Gurgaon,Panipat Textile Hub,103.7,2.0,0,road
Delhivery Hub Gurgaon,Blue Dart Hub Indore,648.9,12.51,0,road
Delhivery Hub Gurgaon,Amazon FC Chandigarh,254.0,4.89,0,road
Delhivery Hub Gurgaon,Delhi Airport DEL,14.1,0.27,0,road
Amazon FC Noida,Amazon FC Manesar,49.6,0.96,0,road
Amazon FC Noida,Delhivery Hub Gurgaon,36.6,0.71,0,road
Amazon FC Noida,Delhivery Hub Jaipur,243.3,4.69,0,road
Amazon FC Noida,Ecom Express Lucknow,395.9,7.63,0,road
Amazon FC Noida,Ludhiana Industrial Hub,301.9,5.82,0,road
Amazon FC Noida,Panipat Textile Hub,103.8,2.0,0,road
Amazon FC Noida,Blue Dart Hub Indore,664.7,12.81,0,road
Amazon FC Noida,Amazon FC Chandigarh,251.4,4.85,0,road
Amazon FC Noida,Delhi Airport DEL,28.3,0.55,0,road
Flipkart FC Bangalore,Amazon FC Bangalore,8.2,0.16,0,road
Flipkart FC Bangalore,Amazon FC Hyderabad,514.8,9.92,0,road
Flipkart FC Bangalore,Amazon FC Chennai,277.4,5.35,0,road
Flipkart FC Bangalore,Delhivery Hub Coimbatore,216.7,4.18,0,road
Flipkart FC Bangalore,Amazon FC Kochi,345.3,6.66,0,road
Flipkart FC Bangalore,Tiruppur Textile Hub,195.6,3.77,0,road
Flipkart FC Bangalore,Bangalore Airport BLR,40.3,0.78,0,road
Amazon FC Bangalore,Flipkart FC Bangalore,8.2,0.16,0,road
Amazon FC Bangalore,Amazon FC Hyderabad,507.0,9.77,0,road
Amazon FC Bangalore,Amazon FC Chennai,278.4,5.37,0,road
Amazon FC Bangalore,Delhivery Hub Coimbatore,223.9,4.31,0,road
Amazon FC Bangalore,Amazon FC Kochi,352.1,6.79,0,road
Amazon FC Bangalore,Tiruppur Textile Hub,203.3,3.92,0,road
Amazon FC Bangalore,Bangalore Airport BLR,32.5,0.63,0,road
Amazon FC Hyderabad,Amazon FC Bhiwandi,602.0,11.6,0,road
Amazon FC Hyderabad,Flipkart FC Bhiwandi,601.9,11.6,0,road
Amazon FC Hyderabad,Flipkart FC Bangalore,514.8,9.92,0,road
Amazon FC Hyderabad,Amazon FC Bangalore,507.0,9.77,0,road
Amazon FC Hyderabad,Amazon FC Chennai,529.5,10.21,0,road
Amazon FC Hyderabad,XpressBees Hub Pune,500.9,9.65,0,road
Amazon FC Hyderabad,Mahindra Logistics Nagpur,412.8,7.96,0,road
Amazon FC Hyderabad,Amazon FC Visakhapatnam,519.9,10.02,0,road
Amazon FC Hyderabad,Blue Dart Hub Indore,647.4,12.48,0,road
Amazon FC Hyderabad,Hyderabad Airport HYD,19.3,0.37,0,road
Amazon FC Chennai,Flipkart FC Bangalore,277.4,5.35,0,road
Amazon FC Chennai,Amazon FC Bangalore,278.4,5.37,0,road
Amazon FC Chennai,Amazon FC Hyderabad,529.5,10.21,0,road
Amazon FC Chennai,Delhivery Hub Coimbatore,416.7,8.03,0,road
Amazon FC Chennai,Amazon FC Kochi,536.7,10.34,0,road
Amazon FC Chennai,Amazon FC Visakhapatnam,622.2,11.99,0,road
Amazon FC Chennai,Tiruppur Textile Hub,375.9,7.24,0,road
Amazon FC Chennai,Chennai Port,14.3,0.28,0,road
Amazon FC Chennai,Ennore Port,28.2,0.54,0,road
Amazon FC Chennai,Chennai Airport MAA,5.3,0.1,0,road
Amazon FC Kolkata,Delhivery Hub Patna,465.4,8.97,0,road
Amazon FC Kolkata,WCI Bhubaneswar,370.7,7.14,0,road
Amazon FC Kolkata,Kolkata Port,8.5,0.16,0,road
Amazon FC Kolkata,Haldia Port,71.1,1.37,0,road
Amazon FC Kolkata,Kolkata Airport CCU,7.2,0.14,0,road
XpressBees Hub Pune,Amazon FC Bhiwandi,109.9,2.12,0,road
XpressBees Hub Pune,Flipkart FC Bhiwandi,110.4,2.13,0,road
XpressBees Hub Pune,Amazon FC Hyderabad,500.9,9.65,0,road
XpressBees Hub Pune,Blue Dart Hub Ahmedabad,507.9,9.79,0,road
XpressBees Hub Pune,Amazon FC Surat,299.6,5.77,0,road
XpressBees Hub Pune,Mahindra Logistics Nagpur,605.8,11.68,0,road
XpressBees Hub Pune,Rajkot Industrial Hub,515.5,9.94,0,road
XpressBees Hub Pune,Blue Dart Hub Indore,498.0,9.6,0,road
XpressBees Hub Pune,Flipkart Hub Vadodara,412.3,7.95,0,road
XpressBees Hub Pune,JNPT Port,102.2,1.97,0,road
XpressBees Hub Pune,Mumbai Port,111.2,2.14,0,road
XpressBees Hub Pune,Pune Airport PNQ,10.6,0.2,0,road
Delhivery Hub Jaipur,Amazon FC Manesar,199.0,3.83,0,road
Delhivery Hub Jaipur,Delhivery Hub Gurgaon,214.4,4.13,0,road
Delhivery Hub Jaipur,Amazon FC Noida,243.3,4.69,0,road
Delhivery Hub Jaipur,Ecom Express Lucknow,514.7,9.92,0,road
Delhivery Hub Jaipur,Blue Dart Hub Ahmedabad,532.0,10.25,0,road
Delhivery Hub Jaipur,Ludhiana Industrial Hub,445.7,8.59,0,road
Delhivery Hub Jaipur,Panipat Textile Hub,301.8,5.82,0,road
Delhivery Hub Jaipur,Blue Dart Hub Indore,464.2,8.95,0,road
Delhivery Hub Jaipur,Amazon FC Chandigarh,438.4,8.45,0,road
Delhivery Hub Jaipur,Flipkart Hub Vadodara,572.6,11.03,0,road
Ecom Express Lucknow,Amazon FC Manesar,428.5,8.26,0,road
Ecom Express Lucknow,Delhivery Hub Gurgaon,424.5,8.18,0,road
Ecom Express Lucknow,Amazon FC Noida,395.9,7.63,0,road
Ecom Express Lucknow,Delhivery Hub Jaipur,514.7,9.92,0,road
Ecom Express Lucknow,Mahindra Logistics Nagpur,672.7,12.96,0,road
Ecom Express Lucknow,Ludhiana Industrial Hub,667.9,12.87,0,road
Ecom Express Lucknow,Panipat Textile Hub,480.7,9.26,0,road
Ecom Express Lucknow,Blue Dart Hub Indore,690.4,13.31,0,road
Ecom Express Lucknow,Delhivery Hub Patna,441.5,8.51,0,road
Ecom Express Lucknow,Amazon FC Chandigarh,591.0,11.39,0,road
Blue Dart Hub Ahmedabad,Amazon FC Bhiwandi,421.9,8.13,0,road
Blue Dart Hub Ahmedabad,Flipkart FC Bhiwandi,420.5,8.1,0,road
Blue Dart Hub Ahmedabad,XpressBees Hub Pune,507.9,9.79,0,road
Blue Dart Hub Ahmedabad,Delhivery Hub Jaipur,532.0,10.25,0,road
Blue Dart Hub Ahmedabad,Amazon FC Surat,212.2,4.09,0,road
Blue Dart Hub Ahmedabad,Rajkot Industrial Hub,202.0,3.89,0,road
Blue Dart Hub Ahmedabad,Blue Dart Hub Indore,337.0,6.49,0,road
Blue Dart Hub Ahmedabad,Flipkart Hub Vadodara,103.9,2.0,0,road
Blue Dart Hub Ahmedabad,Ahmedabad Airport AMD,4.8,0.09,0,road
Amazon FC Surat,Amazon FC Bhiwandi,209.7,4.04,0,road
Amazon FC Surat,Flipkart FC Bhiwandi,208.3,4.01,0,road
Amazon FC Surat,XpressBees Hub Pune,299.6,5.77,0,road
Amazon FC Surat,Blue Dart Hub Ahmedabad,212.2,4.09,0,road
Amazon FC Surat,Mahindra Logistics Nagpur,644.2,12.42,0,road
Amazon FC Surat,Rajkot Industrial Hub,244.6,4.71,0,road
Amazon FC Surat,Blue Dart Hub Indore,356.5,6.87,0,road
Amazon FC Surat,Flipkart Hub Vadodara,131.5,2.53,0,road
Mahindra Logistics Nagpur,Amazon FC Bhiwandi,654.9,12.62,0,road
Mahindra Logistics Nagpur,Flipkart FC Bhiwandi,653.8,12.6,0,road
Mahindra Logistics Nagpur,Amazon FC Hyderabad,412.8,7.96,0,road
Mahindra Logistics Nagpur,XpressBees Hub Pune,605.8,11.68,0,road
Mahindra Logistics Nagpur,Ecom Express Lucknow,672.7,12.96,0,road
Mahindra Logistics Nagpur,Amazon FC Surat,644.2,12.42,0,road
Mahindra Logistics Nagpur,Amazon FC Visakhapatnam,581.8,11.21,0,road
Mahindra Logistics Nagpur,Blue Dart Hub Indore,375.9,7.24,0,road
Mahindra Logistics Nagpur,Flipkart Hub Vadodara,620.7,11.96,0,road
Mahindra Logistics Nagpur,Nagpur Airport NAG,1.9,0.04,0,road
Delhivery Hub Coimbatore,Flipkart FC Bangalore,216.7,4.18,0,road
Delhivery Hub Coimbatore,Amazon FC Bangalore,223.9,4.31,0,road
Delhivery Hub Coimbatore,Amazon FC Chennai,416.7,8.03,0,road
Delhivery Hub Coimbatore,Amazon FC Kochi,130.2,2.51,0,road
Delhivery Hub Coimbatore,Tiruppur Textile Hub,43.3,0.83,0,road
Delhivery Hub Coimbatore,Kochi Port,139.0,2.68,0,road
Amazon FC Kochi,Flipkart FC Bangalore,345.3,6.66,0,road
Amazon FC Kochi,Amazon FC Bangalore,352.1,6.79,0,road
Amazon FC Kochi,Amazon FC Chennai,536.7,10.34,0,road
Amazon FC Kochi,Delhivery Hub Coimbatore,130.2,2.51,0,road
Amazon FC Kochi,Tiruppur Textile Hub,163.9,3.16,0,road
Amazon FC Kochi,Kochi Port,9.1,0.17,0,road
Amazon FC Kochi,Kochi Airport COK,16.6,0.32,0,road
Amazon FC Visakhapatnam,Amazon FC Hyderabad,519.9,10.02,0,road
Amazon FC Visakhapatnam,Amazon FC Chennai,622.2,11.99,0,road
Amazon FC Visakhapatnam,Mahindra Logistics Nagpur,581.8,11.21,0,road
Amazon FC Visakhapatnam,WCI Bhubaneswar,390.1,7.52,0,road
Amazon FC Visakhapatnam,Visakhapatnam Port,4.2,0.08,0,road
Ludhiana Industrial Hub,Amazon FC Manesar,302.0,5.82,0,road
Ludhiana Industrial Hub,Delhivery Hub Gurgaon,294.0,5.67,0,road
Ludhiana Industrial Hub,Amazon FC Noida,301.9,5.82,0,road
Ludhiana Industrial Hub,Delhivery Hub Jaipur,445.7,8.59,0,road
Ludhiana Industrial Hub,Ecom Express Lucknow,667.9,12.87,0,road
Ludhiana Industrial Hub,Panipat Textile Hub,198.8,3.83,0,road
Ludhiana Industrial Hub,Amazon FC Chandigarh,90.0,1.73,0,road
Panipat Textile Hub,Amazon FC Manesar,115.8,2.23,0,road
